Attendance,Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
82,6,59,47,37,66.65
66,8,85,80,58,89.9
99,6,57,61,81,82.4
53,9,40,100,49,79.2
94,7,91,81,87,100.0
69,8,69,54,98,90.35
72,7,81,83,35,81.45
91,3,89,100,56,83.35
69,10,57,79,40,83.25
88,4,43,79,35,62.65
63,4,76,83,95,84.6
79,4,32,68,43,57.8
73,6,42,92,55,73.7
89,6,30,48,48,61.95
86,3,86,54,96,82.5
77,3,67,47,73,68.3
50,7,68,81,82,85.6
62,6,37,88,98,80.5
75,5,38,83,69,71.5
63,6,70,46,82,78.15
83,3,69,69,52,68.95
52,9,70,81,93,95.25
96,4,48,40,60,63.8
93,1,36,64,54,54.05
78,5,73,81,78,84.3
68,3,94,54,73,76.45
93,5,76,84,60,83.55
65,6,51,64,59,70.6
77,5,82,53,75,80.5
60,2,90,96,60,76.2
68,3,51,75,86,71.0
69,4,49,87,52,67.45
85,4,48,67,85,73.8
64,6,80,85,52,81.6
66,2,78,67,59,67.45
68,1,83,100,97,82.35
74,6,37,75,89,77.45
94,10,51,71,89,95.85
56,2,94,82,66,75.5
51,7,50,55,68,71.65
99,6,54,49,81,79.1
56,1,58,96,51,60.75
52,10,59,71,92,92.7
73,1,68,71,59,63.3
55,3,35,90,35,54.5
59,2,62,72,97,72.1
80,4,47,43,76,65.7
93,5,75,78,83,87.8
65,6,40,74,72,72.55
95,6,81,74,99,96.1
61,5,59,77,91,80.0
52,6,78,85,81,86.45
59,10,66,46,97,92.1
99,5,84,47,35,73.2
85,10,42,60,76,86.35
54,7,61,56,47,70.35
58,7,46,93,85,83.35
65,4,74,84,58,75.25
59,1,73,80,98,74.25
59,1,73,51,70,61.45
83,1,47,56,95,64.5
51,2,51,83,82,66.05
99,10,32,61,87,88.4
69,8,40,76,35,70.3
66,1,87,95,50,70.5
50,3,79,53,86,72.3
73,1,42,47,48,47.95
81,7,58,70,55,78.3
58,8,41,90,41,73.25
70,5,39,60,87,70.95
60,7,55,92,66,81.4
91,9,90,52,35,86.8
80,9,71,76,84,96.5
51,4,67,97,85,80.4
90,8,52,53,68,80.7
86,3,62,92,97,83.15
64,2,59,84,51,62.85
76,10,48,73,39,80.15
51,5,95,94,55,83.7
100,8,38,59,70,79.7
53,5,41,76,78,69.95
84,9,64,74,86,95.1
55,6,78,75,45,75.9
95,2,52,45,84,65.85
56,10,76,96,80,100.0
51,5,59,79,71,73.9
92,7,80,50,39,78.55
72,6,36,57,83,71.75
98,6,59,48,68,77.0
78,5,79,45,92,82.4
53,9,85,99,70,97.75
91,8,67,68,57,85.6
65,8,45,74,58,76.55
85,1,72,93,96,79.95
70,2,52,43,48,52.7
80,7,41,94,97,88.35
71,7,58,75,84,85.05
56,1,70,60,50,56.9
98,3,60,51,66,68.4
86,4,55,94,81,80.45
58,10,89,90,71,100.0
93,8,75,51,52,83.65
87,10,50,78,92,96.65
69,5,74,51,64,73.75
54,6,90,53,74,82.2
87,2,74,97,99,85.4
99,4,48,94,89,82.3
67,7,50,97,92,88.45
50,1,71,93,89,72.65
61,4,59,49,60,63.65
50,8,51,62,85,80.45
56,9,41,56,70,76.4
62,8,56,89,76,86.9
94,6,84,42,35,74.45
76,5,41,54,55,63.25
89,6,50,46,36,64.55
50,2,61,58,94,66.9
80,1,34,69,76,58.0
69,8,46,60,40,70.15
83,5,48,48,36,60.45
68,8,45,70,49,73.95
85,5,69,76,45,74.9
54,4,34,70,41,54.55
72,7,90,72,90,95.7
96,9,94,43,93,100.0
54,9,49,96,81,89.25
83,1,57,55,85,64.8
79,6,59,80,58,78.05
84,3,75,68,71,75.45
75,3,92,67,77,80.5
55,3,91,52,51,67.7
58,10,35,81,72,83.4
93,4,62,73,44,70.15
52,5,72,89,95,85.95
66,8,46,44,71,74.25
98,9,62,61,91,95.25
86,4,33,46,64,60.0
64,3,86,86,35,70.35
69,7,37,80,68,75.45
50,2,70,63,80,67.1
65,6,49,75,77,76.7
73,8,57,77,82,87.95
61,3,62,70,61,66.0
69,2,68,98,49,68.6
69,6,48,77,68,75.15
95,10,37,86,88,94.55
80,10,60,90,56,92.0
73,6,79,84,45,80.7
62,9,70,60,71,87.05
67,8,95,72,93,100.0
72,10,69,96,50,93.2
100,2,76,77,78,78.7
70,7,41,63,88,78.4
84,3,35,69,54,59.4
63,10,38,66,37,73.3
83,10,73,48,97,98.2
88,4,45,99,54,72.0
100,7,42,95,94,91.1
61,7,89,65,95,93.6
89,5,89,68,91,91.4
57,5,94,46,86,82.45
83,4,83,70,61,78.6
83,6,77,94,38,81.85
86,8,85,83,94,100.0
84,9,66,63,61,87.25
72,2,61,75,87,71.85
62,9,91,43,97,96.45
97,2,87,68,99,85.0
57,5,50,44,55,61.1
93,3,57,49,52,62.85
74,4,56,94,64,74.7
85,6,82,62,91,90.5
100,4,65,47,49,68.15
94,1,42,51,94,63.4
74,1,69,75,83,70.55
79,2,90,87,66,78.75
